Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
Roberts-Harry Clinic Ltd,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-1002088970,,http://www.rhclinic.co.uk,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-1002088970,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Priors Croft Dental Practice Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-153034362,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-153034362,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Milehouse Dental Care Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-455364573,,http://www.milehousedentalcare.co.uk,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-455364573,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Avsan Knebworth Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-4580056271,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-4580056271,Knebworth Dental Surgery,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Avsan Halstead Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-4604687565,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-4604687565,Halstead Dental Care,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Huntly Grove Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771596,1-3728055222,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-3728055222,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Fairfield Dental Surgery Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-3849703912,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-3849703912,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Dental Excellence - Harewood Practice LLP,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1132181919,1-387301387,,http://www.dentalexcellenceharewood.com,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-387301387,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Antley Villa Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771596,1-3882255045,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-3882255045,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Linden Avenue Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-3919129328,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-3919129328,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Darras Hall Partnership,Bupa Dental Care Support Centre,"Vantage Office Park, Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771596,1-5677046770,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-5677046770,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Orthoscene Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-583338902,,http://www.orthoscene.com,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-583338902,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Market Square Dental Practice,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2257266335,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2257266335,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Rise Park Dental Practice Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2528244165,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2528244165,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
"Davidson, Smith & Associates","Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2304385888,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2304385888,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Grosvenor Orthodontic Clinic (Beckenham) Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2311509612,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2311509612,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Harbour Way Surgery Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-153005750,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-153005750,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
MCM (Dental Services) Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1924362593,1-153009243,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-153009243,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Lawrence Street Dental Practice Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-153012019,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-153012019,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Church Green Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-4053326603,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-4053326603,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
The Exeter Dental Centre Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-415462697,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-415462697,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
MDANZ Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1733314131,1-239043955,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-239043955,Total Dentalcare Cathedral Square,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Mr. Mark Fazakerley,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771596,1-153008535,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-153008535,Victoria House Orthodontics,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Individual,
Hylton Park Road Partnership,Bupa Dental Care Support Centre,"Vantage Office Park, Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771596,1-5677046947,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-5677046947,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Total Orthodontics Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-152951946,,http://www.totalorthodontics.co.uk,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-152951946,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Thayer Street Dental Centre,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-153005640,,http://www.dendental.co.uk,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-153005640,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Poundbury Windslade Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2620423767,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2620423767,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Verwood Forest Lodge Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2763685943,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2763685943,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Ashby Road Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-4352893884,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-4352893884,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
"Bryant, Yates, Preddy and Shahi",Bupa Dental Care Support Centre,"Vantage Office Park, Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771596,1-5443022072,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-5443022072,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
"Coyle, Bryant and Preddy","Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771596,1-5593742130,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-5593742130,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
King Lane Partnership,Vantage Office Park,"Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771596,1-5989861128,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-5989861128,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Fountain Street Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771596,1-6453576536,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-6453576536,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Apex Dental Care Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-990513577,,http://www.apex-dental.co.uk,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-990513577,Apex Dental Care,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Apex Dental Care Sturry Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-1058259271,,http://www.apex-dental.co.uk,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-1058259271,Apex Dental Care,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Windsor Place Partnership,Oasis Healthcare Support Centre,,Bristol,South Gloucestershire,BS16 1GW,1454771530,1-1537327175,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-1537327175,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Apex Dental Care Dronfield Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-1613127978,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-1613127978,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
530 Bolton Partnership,Oasis Healthcare Support Centre,,Bristol,South Gloucestershire,BS16 1GW,1454771530,1-1735144788,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-1735144788,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Bishop Auckland Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-1778512050,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-1778512050,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Chelmsford Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-1786342782,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-1786342782,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Gateshead Lobley Hill Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-1788552528,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-1788552528,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Fisherton House Partnership,Oasis Healthcare Support Centre,,Bristol,South Gloucestershire,BS16 1GW,1454771530,1-1790558789,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-1790558789,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
High Lane Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-1800274581,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-1800274581,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Guiseley Partnership,Oasis Healthcare Support Centre,,Bristol,South Gloucestershire,BS16 1GW,1454771530,1-1846315505,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-1846315505,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Dean Hill Partnership,Oasis Healthcare Support Centre,,Bristol,South Gloucestershire,BS16 1GW,1454771530,1-1874738837,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-1874738837,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Glyn House Dental Partnership,Oasis Healthcare Support Centre,,Bristol,South Gloucestershire,BS16 1GW,1454771530,1-2139535061,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2139535061,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Eckington One Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2159819118,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2159819118,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Church Street Leominster Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2162188392,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2162188392,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Yarde House Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2218639431,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2218639431,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Peterborough Onefiveseven Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2265928063,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2265928063,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Harbourway Partnership,Oasis Healthcare Support Centre,,Bristol,South Gloucestershire,BS16 1GW,1454771530,1-2269562772,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2269562772,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Marlfield Saint James Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2290071131,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2290071131,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Park Street Chester Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2345282849,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2345282849,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Priors Croft Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2412296490,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2412296490,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
The Green Bushey Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2684416676,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2684416676,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Arena Dental Care Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2852980377,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2852980377,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Millhams Road Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2896503824,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2896503824,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Penhaligon Witham Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2961740161,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2961740161,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Kenworthy Street Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-3005730587,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-3005730587,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Southey Hill Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-3139943815,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-3139943815,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Gosport Street Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-3285229533,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-3285229533,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
"Davis, Coyle, Perry and Bryant","Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-3886810941,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-3886810941,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Manchester St Anns Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,,1-4309461884,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-4309461884,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Windslade Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1305268068,1-152966361,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-152966361,Poundbury Dental Practice,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
The Facial Aesthetics & Dental Centre Ltd,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1844273333,1-152972141,,http://www.malthousedentalcentre.co.uk,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-152972141,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Stob Dearg Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-153014341,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-153014341,Calder House Dental Care,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Pembury TM Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1622739962,1-4201533925,,http://www.perioimplantmaidstone.co.uk,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-4201533925,Maidstone Periodontology,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Colchester Dental Referral Centre Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-423252335,,http://www.colchesterdentalreferral.co.uk,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-423252335,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Marsh Road Dental Practice,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1582572094,1-4283828730,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-4283828730,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Luke Barnett Clinic Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1923251537,1-977511944,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-977511944,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
G & M Moynes Ltd,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-845824244,,http://www.thenewtooth.co,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-845824244,The New Tooth Company,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Wimborne East Street Partnership,Bupa Dental Care Support Centre,"Vantage Office Park, Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771596,1-5375274080,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-5375274080,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Mark Fazakerley (Vho) Limited,Bupa Dental Care Vantage Office Park,"Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-5537192314,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-5537192314,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Highworth Dental Care Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1793762231,1-153023721,,http://www.highworth-dental.co.uk,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-153023721,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Bupa Dental Services Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-1116540169,,http://www.bupa.co.uk,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-1116540169,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Clock Tower Dental Care Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1765602161,1-473863956,,http://www.clocktowerdentalcare.co.uk,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-473863956,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Arnica Dental Care Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1242655554,1-2042881343,,http://www.arnicadentalcare.co.uk,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2042881343,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Hospital Lane Dental Clinic Limited,Vantage Office Park,"Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1634842566,1-5462525601,,http://www.hospitallane.com,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-5462525601,Hospital Lane Dental and Implant Clinic,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Diamond House Dental Practice Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1865559521,1-153021180,,http://www.diamondhouse.co.uk,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-153021180,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Madford Lane Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2187931905,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2187931905,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Xeon Smiles UK Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-152955249,,http://www.jameshull.co.uk,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-152955249,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
The Bramhope Dental Clinic Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1132300359,1-777226017,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-777226017,The Bramhope Dental Clinic,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Madeira Road Partnership,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-2192492180,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-2192492180,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Oasis Dental Care (Central) Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1454771530,1-152953759,,,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-152953759,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Iosis Clinic Limited,Vantage Office Park,"Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1483429435,1-191574829,,http://www.iosisclinic.co.uk,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-191574829,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Raglan Suite Limited,"Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,1423565432,1-500746016,,http://www.raglansuite.co.uk,South Gloucestershire,South West,,http://www.cqc.org.uk/provider/1-500746016,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
